Tiempo,Temperatura,Humedad,Masa
77,18,59,-0.85
77.11,18,59,-0.98
77.21,18,59,-1.16
77.31,18,59,-1.06
77.41,18,59,-0.83
77.52,18,59,-1.03
77.62,18,59,-1.18
77.72,18,59,-0.81
77.82,18,59,-0.91
77.93,18,59,-1.06
78.03,18,59,-0.91
78.13,18,59,-0.77
78.23,18,59,-0.77
78.33,18,59,-1.31
78.44,18,59,-1.06
78.54,18,59,-0.72
78.64,18,59,-0.85
78.77,18,59,-0.84
78.87,18,59,-0.77
78.97,18,59,-1.03
79.07,18,59,-1.24
79.18,18,59,-1.19
79.28,18,59,-0.88
79.38,18,59,-0.95
79.48,18,59,-0.89
79.59,18,59,-0.97
79.69,18,59,-0.98
79.79,18,59,-0.85
79.89,18,59,-0.65
80,18,59,-0.66
80.1,18,59,-1.11
80.2,18,59,-1.15
80.3,18,59,-1.31
80.4,18,59,-1.23
80.51,18,59,-1
80.61,18,59,-0.84
80.71,18,59,-0.89
80.84,18,59,-1.22
80.94,18,59,-1.26
81.04,18,59,-1.31
81.14,18,59,-1.22
81.25,18,59,-1.39
81.35,18,59,-1.2
81.45,18,59,-1.16
81.55,18,59,-1.28
81.65,18,59,-1.12
81.76,18,59,-1.14
81.86,18,59,-1.17
81.96,18,59,-1.27
82.06,18,59,-1.01
82.17,18,59,-1.1
82.27,18,59,-0.98
82.37,18,59,-1.33
82.47,18,59,-1.31
82.58,18,59,-1.05
82.68,18,59,-0.65
82.78,18,59,-0.74
82.9,18,59,-0.88
83.01,18,59,-0.81
83.11,18,59,-1.19
83.21,18,59,-1.16
83.31,18,59,-0.59
83.42,18,59,-0.58
83.52,18,59,-0.86
83.62,18,59,-1.15
83.72,18,59,-0.99
83.83,18,59,-1.06
83.93,18,59,-0.81
84.03,18,59,-0.56
84.13,18,59,-0.78
84.24,18,59,-0.67
84.34,18,59,-0.76
84.44,18,59,-1.05
84.54,18,59,-1.16
84.65,18,59,-1.06
84.75,18,59,-0.94
84.85,18,59,-1.48
84.98,18,58,-1.42
85.08,18,58,-1.17
85.18,18,58,-1.06
85.28,18,58,-1.16
85.39,18,58,-1.15
85.49,18,58,-1.16
85.59,18,58,-1.31
85.69,18,58,-1.46
85.79,18,58,-1.26
85.9,18,58,-1.11
86,18,58,-1.21
86.1,18,58,-1.27
86.2,18,58,-0.97
